id,name,url,type,primary_use,address,neighbourhood,ownership,area,capacity,active_space,longitude,latitiude
235,Pendulum Gallery,www.pendulumgallery.bc.ca?,Museum/Gallery,Museum/Gallery,"885 W Georgia St, Vancouver, BC, V6C 3E8",Downtown,Privately Owned,2200,,Yes,-123.119963,49.283709
236,Peretz Centre for Secular Jewish Culture,http://www.peretz-centre.org/index.html,Community Space,Community Centre/Hall,"6184 Ash St, Vancouver, BC, V5Z 3G9",Oakridge,Non-Profit,8000,,Yes,-123.117654,49.229111
237,Performance Works,www.performanceworks.ca,Theatre/Performance,Performance Space,"1218 Cartwright St, Vancouver, BC, V6H 3R8",Fairview,Government,,350,Yes,-123.132002,49.269212
238,Performing Arts Lodge (PAL),http://www.palvancouver.org/?q=pal-theatre,Studio/Rehearsal ,Artist Housing,"581 Cardero St, Vancouver, BC, V6G 3L2",Downtown,Non-Profit,,,Yes,-123.130114,49.29119
239,Peter Kiss Gallery,www.peterkiss.com,Museum/Gallery,Museum/Gallery,"1327 Railspur Alley, Vancouver, BC, V6H 4G9",Fairview,Privately Owned,,,Yes,-123.1337947,49.2701374
240,Petley Jones Gallery,www.petleyjones.com?,Museum/Gallery,Museum/Gallery,"554 W 6th Av, Vancouver, BC, V6J 1R2",Mount Pleasant,Privately Owned,1500,,Yes,-123.0917358,49.2652275
241,Playwrights Theatre Centre,www.playwrightstheatre.com?,Studio/Rehearsal ,Rehearsal Studio,"739 Gore Av, Vancouver, BC, V6A 2Z9",Strathcona,Privately Owned,,,Yes,-123.0970675,49.2781751
242,Plaza of Nations,www.plazaofnations.com?,Community Space,Plaza/Park/Band Shell,"750 Pacific Blvd, Vancouver, BC, V6B 5E7",Downtown,Privately Owned,140000,,Yes,-123.110068,49.276031
243,PNE Amphitheatre,http://www.49st.com/venue/pne-amphitheatre#info,Community Space,Plaza/Park/Band Shell,"2901 E Hastings St, Vancouver, BC, V5K 5J1",Hastings-Sunrise,City of Vancouver,,4500,Yes,-123.037295,49.28416
244,PNE Forum,www.pne.ca,Community Space,Arena/Stadium,"2901 E Hastings St, Vancouver, BC, V5K 5J1",Hastings-Sunrise,City of Vancouver,44579,1250,Yes,-123.042992,49.282263
245,PNE Garden Auditorium,www.pne.ca,Educational,Educational Institution,"2901 E Hastings St, Vancouver, BC, V5K 5J1",Hastings-Sunrise,City of Vancouver,9000,600,Yes,-123.041812,49.281965
246,PNE Pacific Coliseum,www.pne.ca,Community Space,Arena/Stadium,"100 Renfrew St, Vancouver, BC, V5K 3N7",Hastings-Sunrise,City of Vancouver,56825,15713,Yes,-123.042747,49.285856
247,Polish Community Centre,http://polishcommunitycentre.com/,Community Space,Community Centre/Hall,"4015 Fraser St, Vancouver, BC, V5V 4E6",Riley Park,Privately Owned,,,Yes,-123.0902312,49.2491288
248,Portside Studios,,Studio/Rehearsal ,Artist Studio,"150 Mclean Dr, Vancouver, BC, V5L 3L1",Grandview-Woodland,Privately Owned,,,Yes,-123.0740061,49.2833711
249,Praxis Centre for Screenwriting,http://www.praxisfilm.com/en/default.aspx,Studio/Rehearsal ,Film/Recording Studio,"149 W Hastings St, Vancouver, BC, V6B 1H4",Downtown,Other,,,Yes,-123.108643,49.28238
250,Princeton Pub,www.princetonpub.com?,Cafﾂ/Restaurant/Bar,Bar/Lounge/Cabaret,"1901 Powell St, Vancouver, BC, V5L 1J2",Grandview-Woodland,Privately Owned,,,Yes,-123.0650265,49.284993
251,Progress Lab 1422,www.pl1422.blogspot.com?,Studio/Rehearsal ,Rehearsal Studio,"1422 William, Vancouver, BC, V5L 2P7",Grandview-Woodland,Privately Owned,1552,100,Yes,-123.0752583,49.2737909
252,Prophouse Cafﾂ,www.PropHouseCafe.com,Cafﾂ/Restaurant/Bar,Cafﾂ/Restaurant,"1636 Venables St, Vancouver, BC, V5L 2H2",Grandview-Woodland,Privately Owned,2000,,Yes,-123.0704947,49.2766423
253,Purple Thistle at Mergatroid Building,www.purplethistle.ca?,Studio/Rehearsal ,Artist Studio,"975 Vernon Drive, Vancouver, BC, V6A 3P2",Strathcona,Privately Owned,,,Yes,-123.0786643,49.2761045
254,Queen Elizabeth Park- Artist Residence,http://vancouver.ca/parks-recreation-culture/queen-elizabeth-park.aspx,Studio/Rehearsal ,Artist Studio,"4600 Cambie St, Vancouver, BC, V5Y 2M5",Riley Park,Park Board/COV,,,Yes,-123.111815,49.24203
255,Queen Elizabeth Theatre,http://vancouver.caparks-recreation-culture/queen-elizabeth-theatre.aspx,Theatre/Performance,Theatre,"650 Hamilton St, Vancouver, BC, V6B 5N6",Downtown,City of Vancouver,40000,2765,Yes,-123.113401,49.28046
256,Queen Elizabeth Theatre Plaza,,Community Space,Plaza/Park/Band Shell,"650 Hamilton St, Vancouver, BC, V6B 5N6",Downtown,City of Vancouver,23691.78,,Yes,-123.113393,49.27994
257,Railtown Studios,http://railtownstudios.com/,Studio/Rehearsal ,Artist Studio,"321 Railway St, Vancouver, BC, V6A 1A4",Strathcona,Privately Owned,,,Yes,-123.097645,49.2846363
258,"Railway Club, The",www.therailwayclub.com,Cafﾂ/Restaurant/Bar,Bar/Lounge/Cabaret,"579 Dunsmuir St, Vancouver, BC, V6B 1Y4",Downtown,Privately Owned,4500,165,Yes,-123.1151754,49.2828775
259,Raw Canavas,http://www.rawcanvas.com/,Cafﾂ/Restaurant/Bar,Cafﾂ/Restaurant,"1046 Hamilton St, Vancouver, BC, V6B 2R9",Downtown,Privately Owned,,,Yes,-123.1202261,49.2764562
260,Ray-Cam Co-Operative Center,http://vancouver.ca/parks-recreation-culture/ray-cam-co-operative-centre.aspx,Community Space,Community Centre/Hall,"920 E Hastings St, Vancouver, BC, V6A 3T1",Strathcona,Park Board/COV,,,Yes,-123.0840893,49.28073616
261,Red Gate Arts,,Studio/Rehearsal ,Artist Studio,"855 E Hastings St, Vancouver, BC, V6A 1R8",Strathcona,Privately Owned,7500,,Yes,-123.0859896,49.2811222
262,Remington Gallery and Studio,https://www.facebook.com/Remington.Gallery.and.Studio,Museum/Gallery,Museum/Gallery,"108 E Hastings St, Vancouver, BC, V6A 4J1",Downtown,,,,Yes,-123.1019396,49.281336
263,Renegade Studios Main Street,www.renegadeproductions.net,Studio/Rehearsal ,Rehearsal Studio,"125 E 2nd Av, Vancouver, BC, V5T 1B4",Mount Pleasant,Privately Owned,25000,,Yes,-123.1017261,49.2692732
264,Renfrew Park Community Centre,http://www.renfrewcc.com/,Community Space,Community Centre/Hall,"2929 E 22nd Av, Vancouver, BC, V5M 2Y3??",Renfrew-Collingwood,Park Board/COV,,,Yes,-123.0429581,49.25242491
265,Rennie collection at Wing Sang,,Museum/Gallery,Museum/Gallery,"51 E Pender St, Vancouver, BC, V6A 1S9",Downtown,Privately Owned,20000,,Yes,-123.1031317,49.2806995
266,"Rhythm Room, The",www.s2sproductions.com,Studio/Rehearsal ,Rehearsal Studio,"8713 Cambie St, Vancouver, BC, ",Marpole,Privately Owned,1500,,Yes,-123.117986,49.206403
267,"Rickshaw Theatre, The",www.liveatrickshaw.com,Theatre/Performance,Theatre,"254 E Hastings St, Vancouver, BC, V6A 1P1",Strathcona,Privately Owned,10000,,Yes,-123.0983094,49.281272
268,"Rio Theatre, The",www.riotheatre.ca?,Theatre/Performance,Cinema,"1660 E Broadway, Vancouver, BC, V5N 1W1",Kensington-Cedar Cottage,Privately Owned,,420,Yes,-123.0704852,49.2620042
269,Roedde House,www.roeddehouse.orgen/home?,Museum/Gallery,Museum/Gallery,"1415 Barclay St, Vancouver, BC, V6G 1J6",West End,City of Vancouver,3000,,Yes,-123.132187,49.286863
270,Rogers Arena,http://rogersarena.com/,Community Space,Arena/Stadium,"800 Griffiths Way, Vancouver, BC, V6B 6G1",Downtown,Privately Owned,17000,20000,Yes,-123.109143,49.277049
271,Roundhouse Community Centre,www.roundhouse.ca?,Community Space,Community Centre/Hall,"181 Roundhouse Mews, Vancouver, BC, V6Z 2W3",Downtown,City of Vancouver,20000,,Yes,-123.121747,49.273308
272,Roy Barnett Recital Hall,http://www.music.ubc.ca/about-us/facilities/roy-barnett-recital-hall.html,Theatre/Performance,Performance Space,"6361 Memorial Rd, Vancouver, BC, V6T 1Z2",,Other,,255,Yes,-123.256613,49.267411
273,Russian Community Centre Of Vancouver,www.russiancentrevancouver.org,Community Space,Community Centre/Hall,"2114 W 4th Av, Vancouver, BC, V6K 1N6",Kitsilano,Privately Owned,,,Yes,-123.1531395,49.2680684
274,Russian Hall,,Community Space,Community Centre/Hall,"600 Campbell Av, Vancouver, BC, V6A 3K1",Strathcona,Non-Profit,6300,,Yes,-123.084646,49.27895
275,Ryerson United Church,www.ryersonunited.ca,Community Space,Place of Worship,"2195 W 45th Av, Vancouver, BC, V6M  2J2",Kerrisdale,Other,,450,Yes,-123.1585257,49.2309378
276,Sarah Mclachlan School Of Music,www.sarahschoolofmusic.com?,Educational,Educational Institution,"138 E 7th Av, Vancouver, BC, V5T 1M6",Mount Pleasant,Privately Owned,16000,,Yes,-123.101954,49.264581
277,Satellite Gallery,www.satellitegallery.ca,Museum/Gallery,Museum/Gallery,"560 Seymour St, Vancouver, BC, V6B 3J5",Downtown,Privately Owned,3500,,Yes,-123.114585,49.283183
278,Science World At Telus World Of Science,www.scienceworld.ca?,Museum/Gallery,Garden/Aquarium/Science Centre,"1455 Quebec St, Vancouver, BC, V6A 3Z7",Downtown,Government,170000,600,Yes,-123.103652,49.273743
279,Scottish Cultural Centre,www.scottishculturalcentre.com?,Community Space,Community Centre/Hall,"8886 Hudson St, Vancouver, BC, V6P 4N2",Marpole,Non-Profit,8431,,Yes,-123.134666,49.204487
280,Secret Lantern Society,,Studio/Rehearsal ,Workshop,"328 -B Industrial Av, Vancouver, BC, ",Strathcona,Privately Owned,1500,,Yes,-123.0965625,49.2695868
281,Slocan Park Field House,http://vancouver.ca/parks-recreation-culture/slocan-park-fieldhouse.aspx,Studio/Rehearsal ,Artist Studio,"2750 E 29th Av, Vancouver, BC, V5R 1V6",Renfrew-Collingwood,Park Board/COV,2077,,Yes,-123.0483891,49.244559
282,Soundhouse Studios,http://www.soundhousestudios.com/,Studio/Rehearsal ,Film/Recording Studio,"33 W 8th Av, Vancouver, BC, V5Y 1M8",Mount Pleasant,Privately Owned,7000,,Yes,-123.1057281,49.2640305
283,Spirit Wrestler Gallery,www.spiritwrestler.com,Museum/Gallery,Museum/Gallery,"47 Water St, Vancouver, BC, V6B 1A1",Downtown,Privately Owned,,,Yes,-123.105348,49.2837331
284,St James Community Square ,www.sjcommunitysquare.org,Theatre/Performance,Performance Space,"3214 W 10th Av, Vancouver, BC, V6K 2L2",Kitsilano,Privately Owned,4000,,Yes,-123.1765215,49.2630518
285,St. Andrews-Wesley United Church,www.standrewswesleychurch.bc.ca?,Community Space,Place of Worship,"1012 Nelson St, Vancouver, BC, V6E 1H8",West End,Other,,1200,Yes,-123.1266077,49.2815242
286,St. James' Anglican Church,www.stjames.bc.ca,Community Space,Place of Worship,"303 E Cordova St, Vancouver, BC, V6A 1L4",Strathcona,Other,,,Yes,-123.0971846,49.2825039
287,Strathcona Community Centre,https://vancouver.ca/parks-recreation-culture/strathcona-community-centre.aspx,Community Space,Community Centre/Hall,"601 Keefer St, Vancouver, BC, V6A 3V8",Strathcona,Park Board/COV,,,Yes,-123.0915462,49.27977979
288,Strathcona Park Field House,http://vancouver.ca/parks-recreation-culture/strathcona-park-fieldhouse.aspx,Studio/Rehearsal ,Artist Studio,"857 Malkin Av, Vancouver, BC, V6A 2K5",Strathcona,Park Board/COV,350,,Yes,-123.083385,49.2739359
289,Studio 1398,www.giculturalsociety.org/studio1398/,Studio/Rehearsal ,Rehearsal Studio,"1398 Cartwright St, Vancouver, BC, V6H 3R8",Fairview,Government,1748,96,Yes,-123.135137,49.269883
290,Studio 16/Theatre La Seizieme,www.seizieme.ca?,Studio/Rehearsal ,Rehearsal Studio,"1555 W 7th Av, Vancouver, BC, V6J 1S1",Fairview,Privately Owned,,120,Yes,-123.140093,49.2655999
291,Sunset Community Centre,http://www.mysunset.net/,Community Space,Community Centre/Hall,"6810 Main St, Vancouver, BC, V5X 0A1 ",Sunset,Park Board/COV,,,Yes,-123.1006104,49.22286659
292,Taiwanese Canadian Cultural Society,www.tccs.ca,Community Space,Community Centre/Hall,"8853 Selkirk St, Vancouver, BC, V6P 4J6",Marpole,Privately Owned,,,Yes,-123.1338135,49.2047023
293,Tangent Cafﾂ,http://tangentcafe.ca/,Cafﾂ/Restaurant/Bar,Cafﾂ/Restaurant,"2095 Commercial Dr, Vancouver, BC, V5N 4A9",Grandview-Woodland,Privately Owned,,,Yes,-123.0698073,49.266022
294,Teck Gallery,https://www.sfu.ca/galleries/teck-gallery.html,Museum/Gallery,Museum/Gallery,"515 W Hastings St, Vancouver, BC, V6B 0B2",Downtown,Privately Owned,625,,Yes,-123.1119735,49.2841655
295,The Apartment,http://theapt.ca/filter/Exhibition,Museum/Gallery,Museum/Gallery,"119B E Pender St, Vancouver, BC, V6A 1T6",Downtown,Privately Owned,,,Yes,-123.1015866,49.2804859
296,Thunderbird Community Centre,http://vancouver.ca/parks-recreation-culture/thunderbird-community-centre.aspx,Community Space,Community Centre/Hall,"2311 Cassiar St, Vancouver, BC, V5M 3X3",Hastings-Sunrise,Park Board/COV,,,Yes,-123.0321037,49.26360784
297,Tom Lee Music Recital Hall,www.tomleemusic.ca,Theatre/Performance,Performance Space,"929 Granville St, Vancouver, BC, V6Z 1L3",Downtown,Privately Owned,,,Yes,-123.1224555,49.2800125
298,Tracey Lawrence Gallery,,Museum/Gallery,Museum/Gallery,"1531 W 4th Av, Vancouver, BC, V6J 1L6",Fairview,Privately Owned,,,Yes,-123.139461,49.267975
299,Trees Organic Coffee House,http://www.treescoffee.com/,Cafﾂ/Restaurant/Bar,Cafﾂ/Restaurant,"450 Granville St, Vancouver, BC, V6C 1V4",Downtown,Privately Owned,,,Yes,-123.11431,49.284923
300,Trench Gallery,www.trenchgallery.com,Museum/Gallery,Museum/Gallery,"148 Alexander St, Vancouver, BC, V6A 1B5",Downtown,Privately Owned,1000,,Yes,-123.1010921,49.2839469
301,Trout Lake Community Centre,https://vancouver.ca/parks-recreation-culture/trout-lake-community-centre.aspx,Community Space,Community Centre/Hall,"3360 Victoria Dr, Vancouver, BC, V5N 4M4",Kensington-Cedar Cottage,Park Board/COV,,,Yes,-123.065438,49.255325
302,UBC Museum of Anthropology,http://moa.ubc.ca/,Museum/Gallery,Museum/Gallery,"6393 NW Marine Dr, Vancouver, BC, V6T 1Z2",,Other,38889,,Yes,-123.259174,49.26907
303,UBC School of Music,www.music.ubc.ca,Educational,Educational Institution,"6361 Memorial Rd, Vancouver, BC, V6T 1Z2",,Other,,,Yes,-123.256757,49.267358
304,UBC Thunderbird Arena,http://thunderbirdarena.ubc.ca/,Community Space,Arena/Stadium,"2555 Wesbrook Mall, Vancouver, BC, V6T 1Z3",,Government,17000,5033,Yes,-123.2413205,49.2612385
305,Unit/Pitt Projects ,www.helenpittgallery.org,Museum/Gallery,Museum/Gallery,"236 E Pender St, Vancouver, BC, V6A 1T7",Strathcona,Privately Owned,759,,Yes,-123.098813,49.280103
306,Uno Langmann Limited Fine Arts,www.langmann.com,Museum/Gallery,Museum/Gallery,"2117 Granville St, Vancouver, BC, V6H 3E9",Fairview,Privately Owned,,,Yes,-123.1388698,49.2666423
307,Uzume Taiko Drum Group Society,www.uzume.com?,Studio/Rehearsal ,Rehearsal Studio,"1254 Frances St, Vancouver, BC, V6A 1Z5",Strathcona,Privately Owned,,,Yes,-123.0779834,49.279451
308,Vag Plaza North,,Community Space,Plaza/Park/Band Shell," , Vancouver, BC, ",Downtown,City of Vancouver,,,Yes,-123.119848,49.283113
309,Van Dusen Botanical Gardens,http://vandusengarden.org/,Museum/Gallery,Garden/Aquarium/Science Centre,"5251 Oak St, Vancouver, BC, V6M 4H1",Shaughnessy,Park Board/COV,2368060,,Yes,-123.128627,49.238472
310,Vancity Theatre,http://www.viff.org/theatre/facility-info,Theatre/Performance,Cinema,"1181 Seymour St, Vancouver, BC, V6B 3M7",Downtown,Privately Owned,650,170,Yes,-123.124732,49.276974
311,Vancouver Aboriginal Friendship Centre,http://www.vafcs.org/,Community Space,Community Centre/Hall,"1607 E Hastings St, Vancouver, BC, V5L 1S9",Grandview-Woodland,Other,,,Yes,-123.0724904,49.2813439
312,Vancouver Academy Of Music,http://vancouveracademyofmusic.com,Educational,Educational Institution,"1270 Chestnut St, Vancouver, BC, V6J 4R9",Kitsilano,City of Vancouver,40000,,Yes,-123.144548,49.274884
313,Vancouver Access Artist Run Centre,www.accessgallery.ca,Museum/Gallery,Museum/Gallery,"222 E Georgia St, Vancouver, BC, V6A 1Z7",Strathcona,Privately Owned,1020,,Yes,-123.098757,49.278453
314,Vancouver Adapted Music,www.vams.org/,Studio/Rehearsal ,Film/Recording Studio,"4225 Laurel St, Vancouver, BC, V5Z 2G9",South Cambie,Privately Owned,,,Yes,-123.1248217,49.2476977
315,Vancouver Aquarium,www.vanaqua.org?,Museum/Gallery,Garden/Aquarium/Science Centre,"845 Avison Way, Vancouver, BC, V6G 3E2",,City of Vancouver,97000,,Yes,-123.130997,49.30067
316,Vancouver Art Gallery,www.vanartgallery.bc.ca,Museum/Gallery,Museum/Gallery,"750 Hornby St, Vancouver, BC, V6Z 2H7",Downtown,Government,165000,,Yes,-123.120932,49.283158
317,Vancouver Art Gallery Offsite,http://www.vanartgallery.bc.ca/the_exhibitions/public_art.html    ,Museum/Gallery,Museum/Gallery,"1100 W Georgia St, Vancouver, BC, V6E 0A8",West End,City of Vancouver,34033,,Yes,-123.124298,49.286205
318,Vancouver Art Therapy Institute (VATI),http://www.vati.bc.ca/,Educational,Educational Institution,"1575 Johnston St, Vancouver, BC, V6H 3R9",Fairview,,,,Yes,-123.1349366,49.2718984
319,Vancouver Burlesque Centre,http://www.vancouverburlesquecentre.ca/,Studio/Rehearsal ,Rehearsal Studio,"124 W 6th Av, Vancouver, BC, V5Y 1K6",Mount Pleasant,Privately Owned,,,Yes,-123.1075911,49.2655855
320,Vancouver Community Laboratory,http://vancommunitylab.com/,Studio/Rehearsal ,Workshop,"1907 Triumph St, Vancouver, BC, V5L 1K6",Grandview-Woodland,,5000,,Yes,-123.0652956,49.2841727
321,Vancouver Contemporary Art Gallery,www.contemporaryartgallery.ca?,Museum/Gallery,Museum/Gallery,"555 Nelson St, Vancouver, BC, V6B 6R5",Downtown,Privately Owned,5000,,Yes,-123.121183,49.278238
322,Vancouver Co-Operative Radio,www.coopradio.org?,Studio/Rehearsal ,Film/Recording Studio,"360 Columbia St, Vancouver, BC, V6A 4J1",Downtown,Non-Profit,,,Yes,-123.102125,49.281763
323,Vancouver East Cultural Centre- Historic Theatre,www.thecultch.com?,Theatre/Performance,Theatre,"1895 Venables St, Vancouver, BC, V5L 2H6",Grandview-Woodland,City of Vancouver,25000,195,Yes,-123.065797,49.276674
324,Vancouver East Cultural Centre- Vancity Culture Lab,www.thecultch.com?,Theatre/Performance,Theatre,"1895 Venables St, Vancouver, BC, V5L 2H6",Grandview-Woodland,City of Vancouver,2500,86,Yes,-123.065816,49.276676
325,Vancouver Holocaust Education Centre,www.vhec.org?,Museum/Gallery,Museum/Gallery,"950 W 41st Av, Vancouver, BC, V5Z 2N7",Oakridge,Privately Owned,,,Yes,-123.126013,49.233442
326,Vancouver Japanese Language School and Japanese Hall,http://www.vjls-jh.com,Community Space,Community Centre/Hall,"475 Alexander St, Vancouver, BC, V6A 1C6",Strathcona,Non-Profit,36000,,Yes,-123.093733,49.284251
327,Vancouver Maritime Museum,www.vancouvermaritimemuseum.com,Museum/Gallery,Museum/Gallery,"1905 Ogden Av, Vancouver, BC, V6J 1A3",Kitsilano,City of Vancouver,26215,,Yes,-123.147587,49.277465
328,Vancouver Photo Workshop,http://www.vancouverphotoworkshops.com/,Educational,Educational Institution,"14 W 7th Av, Vancouver, BC, V5Y 1L6",Mount Pleasant,Privately Owned,,,Yes,-123.1053882,49.2647093
329,Vancouver Playhouse Theatre,http://vancouver.caparks-recreation-culture/vancouver-playhouse.aspx,Theatre/Performance,Theatre,"600 Hamilton St, Vancouver, BC, V6B 6A1",Downtown,City of Vancouver,2600,668,Yes,-123.112328,49.2808
330,Vancouver Police Museum,www.vancouverpolicemuseum.ca?,Museum/Gallery,Museum/Gallery,"240 E Cordova St, Vancouver, BC, V6A 1L3",Strathcona,City of Vancouver,15392,,Yes,-123.0987999,49.282247
331,Vancouver Public Library,www.vpl.ca,Museum/Gallery,Library/Archives,"350 W Georgia St, Vancouver, BC, V6B 6B1",Downtown,City of Vancouver,12000,,Yes,-123.1151119,49.2804357
332,Vancouver Symphony Orchestra School Of Music,www.vsoschoolofmusic.ca?,Educational,Educational Institution,"843 Seymour St, Vancouver, BC, V6B 3L4",Downtown,City of Vancouver,25000,,Yes,-123.119768,49.280221
333,Vancouver Symphony Orchestra School of Music-Recital Hall (Pyatt Hall),www.vsoschoolofmusic.ca?,Theatre/Performance,Performance Space,"843 Seymour St, Vancouver, BC, V6B 3L4",Downtown,City of Vancouver,,120,Yes,-123.119792,49.280207
334,Vancouver Tap Dance Society,www.vantapdance.com?,Educational,Educational Institution,"2775 E Hastings St, Vancouver, BC, V5K 1Z8",Hastings-Sunrise,Non-Profit,1164,,Yes,-123.047414,49.281396
335,Vanier Park,,Community Space,Plaza/Park/Band Shell,"1000 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,228194,,Yes,-123.146124,49.276777
336,Venue,www.venuelive.ca?,Cafﾂ/Restaurant/Bar,Bar/Lounge/Cabaret,"881 Granville St, Vancouver, BC, V6Z 1K7",Downtown,Privately Owned,10000,,Yes,-123.1211246,49.2805411
337,Visual Arts Studio-SFU School for the Contemporary Arts,http://www.sfu.ca/sca/index.php/programs/visual-arts,Educational,Educational Institution,"611 Alexander St, Vancouver, BC, V6A 1E1",Strathcona,Privately Owned,,,Yes,-123.0915178,49.2844372
338,Vivo Media Arts Centre,www.vivomediaarts.com,Studio/Rehearsal ,Film/Recording Studio,"1965 Main St, Vancouver, BC, V5T 3C1",Mount Pleasant,Privately Owned,5500,,Yes,-123.101242,49.267731
339,Vogue Theatre,www.voguetheatre.com,Theatre/Performance,Theatre,"918 Granville St, Vancouver, BC, V6Z 1L2",Downtown,Privately Owned,8986,1136,Yes,-123.1218259,49.2799671
340,Wall Centre Plaza,,Community Space,Plaza/Park/Band Shell,"1088 Burrard St, Vancouver, BC, V6Z 2R9",Downtown,Privately Owned,,,Yes,-123.1265368,49.2801175
341,Waterfront Theatre,www.waterfronttheatre.ca?,Theatre/Performance,Theatre,"1412 Cartwright St, Vancouver, BC, V6H 3R7",Fairview,Government,,224,Yes,-123.135508,49.270119
342,West 6th Artists Studios,,Studio/Rehearsal ,Artist Studio,"1571 W 6th Av, Vancouver, BC, V6J 1R1",Fairview,City of Vancouver,400,,Yes,-123.1401944,49.266238
343,West 6Th Artists Studios,,Studio/Rehearsal ,Artist Studio,"1573 W 6th Av, Vancouver, BC, V6J 1R1",Fairview,City of Vancouver,400,,Yes,-123.1400604,49.2663536
344,West End Community Centre,https://vancouver.ca/parks-recreation-culture/west-end-community-centre.aspx,Community Space,Community Centre/Hall,"870 Denman St, Vancouver, BC, V6G 2L8",West End,Park Board/COV,50000,,Yes,-123.1360738,49.28991296
345,Western Front Artist Studio,,Studio/Rehearsal ,Artist Studio,"303 E 8th Av, Vancouver, BC, V5T 1S1",Mount Pleasant,Privately Owned,,,Yes,-123.0986899,49.2639078
346,Western Front Gallery,www.front.bc.ca?,Museum/Gallery,Museum/Gallery,"303 E 8th Av, Vancouver, BC, V5T 1S1",Mount Pleasant,Privately Owned,3110,,Yes,-123.098654,49.263916
347,Western Front -Luxe Hall,,Theatre/Performance,Performance Space,"303 E 8th Av, Vancouver, BC, V5T 1S1",Mount Pleasant,Privately Owned,1250,126,Yes,-123.098716,49.263894
348,William Clark Studios,,Studio/Rehearsal ,Artist Studio,"1310 William St, Vancouver, BC, V5L 2P5",Grandview-Woodland,Privately Owned,,,Yes,-123.0771637,49.2740112
349,Winsor Gallery,www.winsorgallery.com,Museum/Gallery,Museum/Gallery,"258 E 1st Ave, Vancouver, BC, V5T 1A6",Strathcona,Privately Owned,6000,,Yes,-123.0984496,49.2689553
350,Wise Club Hall,www.wisehall.ca,Theatre/Performance,Performance Space,"1882 Adanac St, Vancouver, BC, V5L 2E2",Grandview-Woodland,Non-Profit,2600,225,Yes,-123.0660915,49.2772414
351,Woodward's Atrium,,Theatre/Performance,Performance Space,"111 W Hastings St, Vancouver, BC, V6B 1H4",Downtown,,,,Yes,-123.107579,49.282541
352,Writers' Exchange,,Studio/Rehearsal ,Workshop,"881 E Hastings St, Vancouver, BC, V6A 1R8",Strathcona,Privately Owned,,,Yes,-123.0853822,49.2811097
353,York Theatre,https://thecultch.com/locations/york-theatre/,Theatre/Performance,Theatre,"639 Commercial Dr, Vancouver, BC, V5L 2W2",Grandview-Woodland,City of Vancouver,15000,370,Yes,-123.0707458,49.2786795
354,Yuk Yuk's Comedy Club,http://www.yukyuks.com,Theatre/Performance,Performance Space,"2837 Cambie St, Vancouver, BC, V5Z 3Y8",Fairview,Privately Owned,,150,Yes,-123.1151069,49.2600654
